time	blank	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	E6_1	E6_2	E6_3	E6_4	E6_5	E6_6	E6_7	E6_8	E6_9	E6_10	E6_11	E6_12	E6_13	E6_14	E6_15	E6_16	E6_17	E6_18	E6_19	E6_20	E10_1	E10_2	E10_3	E10_4	E10_5	E10_6	E10_7	E10_8	E10_9	E10_10	E10_11	E10_12	E10_13	E10_14	E10_15	E10_16	E10_17	E10_18	E10_19	E10_20
0	0.16226	0.19122	0.19514	0.1971	0.19724	0.199	0.19634	0.19568	0.19798	0.19706	0.1968	0.19602	0.19586	0.1969	0.1947	0.19538	0.19704	0.19754	0.20154	0.19958	0.1986	0.17172	0.17	0.17296	0.17026	0.16828	0.1697	0.17134	0.16956	0.17098	0.17074	0.17244	0.17086	0.17034	0.17112	0.17228	0.17214	0.17236	0.17162	0.17198	0.1696	0.15208	0.15424	0.15288	0.15286	0.15334	0.15286	0.1529	0.15512	0.15506	0.1545	0.15452	0.15258	0.15392	0.15288	0.15354	0.15448	0.15516	0.15342	0.15244	0.15352
30	0.1618	0.19284	0.19656	0.19824	0.19848	0.20006	0.19742	0.19676	0.19892	0.19808	0.2006	0.1975	0.19726	0.19822	0.19592	0.19666	0.1984	0.19878	0.20292	0.20058	0.19948	0.17238	0.1703	0.17278	0.17068	0.16888	0.16998	0.17138	0.16974	0.1711	0.17072	0.17144	0.17006	0.16952	0.17026	0.17154	0.17166	0.17166	0.17096	0.1712	0.16904	0.15248	0.1539	0.15298	0.15266	0.15328	0.1526	0.1527	0.15458	0.155	0.15424	0.15408	0.1524	0.15358	0.15294	0.1533	0.15414	0.15474	0.15328	0.15252	0.15322
60	0.1618	0.19364	0.19748	0.19908	0.1995	0.20096	0.19816	0.1976	0.19968	0.19892	0.20136	0.19834	0.19816	0.19914	0.19666	0.19756	0.19912	0.19954	0.20388	0.2013	0.20018	0.17252	0.17018	0.17246	0.1701	0.16856	0.1696	0.17094	0.16914	0.17076	0.17064	0.17126	0.1699	0.16912	0.17014	0.17114	0.17126	0.1715	0.1703	0.17096	0.16898	0.15202	0.15346	0.1527	0.15242	0.15286	0.1523	0.15234	0.15414	0.15482	0.15374	0.15376	0.152	0.15308	0.15256	0.1529	0.15366	0.15426	0.15276	0.15196	0.15304
90	0.16178	0.19474	0.19858	0.20016	0.20076	0.20212	0.1992	0.19876	0.2007	0.20012	0.20216	0.19932	0.19926	0.20026	0.19762	0.19862	0.20022	0.20052	0.20512	0.2024	0.20112	0.17254	0.17008	0.1722	0.16974	0.16852	0.16938	0.17058	0.1692	0.17064	0.17032	0.17116	0.16988	0.16912	0.16988	0.17094	0.1711	0.17132	0.1703	0.17092	0.16886	0.15148	0.15312	0.15226	0.152	0.15248	0.15192	0.15198	0.1538	0.15454	0.15348	0.15318	0.15144	0.15264	0.15202	0.15242	0.15326	0.1537	0.1524	0.15158	0.1525
120	0.1618	0.19652	0.20054	0.202	0.20286	0.20406	0.201	0.20066	0.20246	0.2019	0.20288	0.20108	0.20118	0.20224	0.19936	0.20046	0.20204	0.20244	0.2072	0.2043	0.20274	0.173	0.17046	0.17242	0.17006	0.16898	0.1696	0.17084	0.1695	0.17106	0.17072	0.1714	0.17004	0.16922	0.17004	0.171	0.17128	0.17146	0.1705	0.17106	0.16912	0.15132	0.15284	0.1519	0.15178	0.15222	0.15168	0.15164	0.15354	0.15408	0.1532	0.15304	0.15106	0.1523	0.15174	0.152	0.15292	0.15346	0.15208	0.15128	0.15242
150	0.16178	0.19902	0.20318	0.2045	0.2057	0.20672	0.20342	0.20324	0.2049	0.20442	0.20552	0.20354	0.20388	0.20498	0.20168	0.20306	0.20458	0.20492	0.2101	0.20684	0.20502	0.17338	0.17084	0.17274	0.17042	0.1693	0.16996	0.17122	0.16984	0.1713	0.17094	0.17168	0.17032	0.16954	0.17032	0.1713	0.1715	0.17182	0.1708	0.17132	0.1694	0.15108	0.15278	0.15176	0.15146	0.15184	0.15142	0.15132	0.15334	0.1539	0.15296	0.15272	0.15072	0.15204	0.15146	0.15188	0.15272	0.15314	0.1517	0.15104	0.15202
180	0.1618	0.20234	0.20674	0.20788	0.20954	0.21022	0.2067	0.2068	0.2082	0.20784	0.20876	0.2066	0.20724	0.20848	0.20476	0.20632	0.2078	0.2082	0.2137	0.21036	0.20798	0.17384	0.17126	0.17312	0.17074	0.16974	0.17034	0.1716	0.17028	0.1717	0.17124	0.17206	0.17068	0.1698	0.17066	0.17164	0.17196	0.17222	0.1711	0.17166	0.1698	0.1509	0.15252	0.15144	0.15136	0.15164	0.15122	0.15122	0.15318	0.1537	0.15274	0.15252	0.15064	0.15182	0.15118	0.15164	0.15236	0.15306	0.15146	0.15076	0.1519
210	0.16176	0.20642	0.21116	0.21214	0.2144	0.21464	0.21074	0.21116	0.21238	0.2123	0.21626	0.2106	0.21174	0.21302	0.20878	0.21068	0.21224	0.21248	0.21846	0.21466	0.21168	0.17432	0.17178	0.17346	0.17122	0.1702	0.17076	0.17196	0.17054	0.17212	0.17166	0.17244	0.17112	0.17018	0.17114	0.17198	0.17238	0.17264	0.1715	0.17212	0.17018	0.1507	0.15228	0.15126	0.1511	0.15148	0.15106	0.15092	0.15292	0.1535	0.15258	0.15226	0.15034	0.15172	0.15104	0.15146	0.15224	0.15286	0.15122	0.15056	0.15172
240	0.16172	0.21176	0.21702	0.21782	0.22088	0.22058	0.21612	0.21698	0.21792	0.21828	0.22388	0.21578	0.21736	0.21886	0.21396	0.21634	0.21892	0.21882	0.22454	0.2202	0.21656	0.17498	0.17236	0.1739	0.17168	0.17072	0.17132	0.17242	0.17098	0.17262	0.1722	0.17296	0.17168	0.17064	0.17158	0.17242	0.1729	0.17314	0.17196	0.17262	0.17068	0.15056	0.15208	0.15108	0.15098	0.1513	0.15084	0.15078	0.15274	0.1534	0.15244	0.15214	0.15022	0.15154	0.15086	0.15124	0.15208	0.15266	0.15104	0.15046	0.15158
270	0.16178	0.21876	0.2248	0.2252	0.22908	0.22818	0.22334	0.22454	0.22528	0.22582	0.2286	0.22252	0.22494	0.22644	0.22086	0.22462	0.2299	0.23034	0.23284	0.22764	0.22306	0.17562	0.17306	0.17456	0.17236	0.17148	0.172	0.1731	0.1715	0.1732	0.17278	0.17358	0.17242	0.17136	0.1723	0.1731	0.17338	0.1739	0.17374	0.1732	0.17136	0.15046	0.1517	0.15116	0.15108	0.15134	0.15086	0.1508	0.15236	0.153	0.15226	0.152	0.1502	0.15148	0.15092	0.15128	0.15212	0.15258	0.15108	0.15044	0.15158
