time	blank	anc1	anc2	anc3	anc4	anc5	anc6	anc7	anc8	anc9	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	m1	m2	m3	m4	m5	m6	m7	m8	m9	m10	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10
0	0.12924	0.1521	0.1583	0.16216	0.15464	0.1501	0.15128	0.1514	0.15032	0.15324	0.16314	0.1703	0.19016	0.17066	0.15712	0.162	0.15498	0.16124	0.15732	0.16736	0.1522	0.15464	0.15926	0.16718	0.15958	0.16064	0.15074	0.15188	0.155	0.15988	0.1517	0.15228	0.15064	0.1578	0.18468	0.21144	0.16468	0.15416	0.15118	0.1561
30	0.12876	0.15696	0.16236	0.16292	0.15898	0.1559	0.15698	0.15528	0.15508	0.15752	0.16868	0.16658	0.15466	0.1563	0.16254	0.1672	0.15958	0.16636	0.1642	0.17254	0.15626	0.15998	0.15858	0.16108	0.15196	0.15336	0.1527	0.15558	0.15928	0.16344	0.15398	0.15432	0.152	0.15362	0.15046	0.15194	0.15244	0.1547	0.15242	0.1563
60	0.12884	0.15754	0.16372	0.1645	0.16016	0.1558	0.15702	0.15646	0.15616	0.159	0.16924	0.16982	0.15576	0.15772	0.16508	0.17024	0.1615	0.16812	0.16718	0.17402	0.15628	0.16184	0.15952	0.16328	0.15292	0.15476	0.15466	0.15718	0.16168	0.16408	0.15406	0.15414	0.15164	0.15416	0.1502	0.15136	0.15324	0.15494	0.15252	0.15674
90	0.1288	0.15808	0.1648	0.1655	0.16098	0.15626	0.15784	0.157	0.15674	0.1596	0.17036	0.17084	0.1566	0.1586	0.16682	0.17194	0.16246	0.16884	0.1681	0.17528	0.15716	0.16244	0.16042	0.16374	0.15344	0.1552	0.15502	0.15784	0.16256	0.16466	0.15414	0.15432	0.15172	0.15414	0.1501	0.15136	0.1535	0.15496	0.1527	0.15688
120	0.12878	0.15914	0.16596	0.16668	0.16202	0.15714	0.15858	0.15786	0.15784	0.16052	0.1717	0.17228	0.15752	0.15994	0.16828	0.17338	0.16364	0.17056	0.1698	0.1769	0.15796	0.16358	0.16126	0.16502	0.15402	0.15578	0.15582	0.15886	0.16422	0.16572	0.15422	0.1544	0.15198	0.15438	0.15024	0.15136	0.15408	0.15554	0.1526	0.15674
150	0.12878	0.16032	0.16698	0.1678	0.163	0.15812	0.15944	0.15868	0.15884	0.1611	0.17322	0.17376	0.15848	0.16074	0.17014	0.17524	0.16526	0.17246	0.17154	0.17852	0.1589	0.16494	0.16238	0.16622	0.15458	0.15632	0.15674	0.15988	0.16558	0.16626	0.1543	0.15464	0.15204	0.15466	0.15	0.15124	0.15468	0.15614	0.15274	0.15682
180	0.1287	0.16144	0.16804	0.1692	0.16416	0.1591	0.1602	0.1595	0.15974	0.16172	0.17512	0.1758	0.15958	0.16178	0.1723	0.17768	0.16732	0.17516	0.1739	0.18106	0.1597	0.16642	0.16348	0.16728	0.15518	0.15688	0.15742	0.16072	0.16686	0.16706	0.15442	0.15478	0.15232	0.15482	0.14992	0.1511	0.15542	0.1569	0.15292	0.15664
210	0.12868	0.16294	0.16936	0.17094	0.16568	0.16034	0.16136	0.16076	0.1609	0.16294	0.17788	0.1785	0.16082	0.16304	0.17516	0.1807	0.17012	0.1783	0.17674	0.18374	0.16114	0.1682	0.16504	0.16898	0.15572	0.15756	0.1585	0.16216	0.16874	0.16804	0.15482	0.1551	0.15266	0.15522	0.14998	0.15106	0.15628	0.15788	0.15314	0.1568
240	0.12866	0.16458	0.17116	0.17294	0.16746	0.16174	0.16278	0.16204	0.16218	0.1642	0.18142	0.18202	0.1623	0.16466	0.17852	0.18444	0.17352	0.18226	0.18048	0.18762	0.1626	0.17038	0.16696	0.17108	0.15658	0.15852	0.15986	0.1636	0.17078	0.1695	0.15514	0.15558	0.15336	0.15584	0.15026	0.1511	0.15742	0.159	0.1534	0.15682
270	0.1286	0.16642	0.17346	0.17528	0.1694	0.1635	0.16458	0.16366	0.16388	0.16598	0.18586	0.18668	0.16406	0.1666	0.18304	0.18926	0.17768	0.18728	0.1854	0.19316	0.1649	0.17324	0.16956	0.17394	0.15788	0.1597	0.16162	0.16574	0.1735	0.17096	0.15588	0.15636	0.15412	0.15672	0.15056	0.1512	0.1589	0.16068	0.15372	0.1569
